Date,id,sales,asins,brand,categories,name,Price
2017-02-15,6,4497.018337294653,B07FPJRG2L,Nature Republic,Skin Care, [Nature Republic] Collagen Dream 50 All In One Radiance Tone Up Cream SPF35 PA++ ,5540.0
2016-11-09,7,9984.022544027986,B076GMVVKW,Girish And Company,Fragrance, 100 Flower Perfume Fragrance Roll on Attar (6 ML) ,70.0
2016-11-16,7,9129.720648778452,B076GMVVKW,Girish And Company,Fragrance, 100 Flower Perfume Fragrance Roll on Attar (6 ML) ,70.0
2016-11-23,7,8184.480403791838,B076GMVVKW,Girish And Company,Fragrance, 100 Flower Perfume Fragrance Roll on Attar (6 ML) ,70.0
2016-11-30,7,9194.712333102421,B076GMVVKW,Girish And Company,Fragrance, 100 Flower Perfume Fragrance Roll on Attar (6 ML) ,70.0
2016-12-07,7,12706.049990816771,B076GMVVKW,Girish And Company,Fragrance, 100 Flower Perfume Fragrance Roll on Attar (6 ML) ,70.0
2016-12-14,7,16656.16148288323,B076GMVVKW,Girish And Company,Fragrance, 100 Flower Perfume Fragrance Roll on Attar (6 ML) ,70.0
2016-12-21,7,17905.78481634624,B076GMVVKW,Girish And Company,Fragrance, 100 Flower Perfume Fragrance Roll on Attar (6 ML) ,70.0
2016-12-28,7,15103.065487680726,B076GMVVKW,Girish And Company,Fragrance, 100 Flower Perfume Fragrance Roll on Attar (6 ML) ,70.0
2017-01-04,7,10059.771597546789,B076GMVVKW,Girish And Company,Fragrance, 100 Flower Perfume Fragrance Roll on Attar (6 ML) ,70.0
2017-01-11,7,6247.626747764995,B076GMVVKW,Girish And Company,Fragrance, 100 Flower Perfume Fragrance Roll on Attar (6 ML) ,70.0
2017-01-18,7,5888.776349715616,B076GMVVKW,Girish And Company,Fragrance, 100 Flower Perfume Fragrance Roll on Attar (6 ML) ,70.0
2017-01-25,7,8387.806861913472,B076GMVVKW,Girish And Company,Fragrance, 100 Flower Perfume Fragrance Roll on Attar (6 ML) ,70.0
2017-02-01,7,11326.585547431976,B076GMVVKW,Girish And Company,Fragrance, 100 Flower Perfume Fragrance Roll on Attar (6 ML) ,70.0
2017-02-08,7,12714.482624321063,B076GMVVKW,Girish And Company,Fragrance, 100 Flower Perfume Fragrance Roll on Attar (6 ML) ,70.0
2017-02-15,7,12293.988420250127,B076GMVVKW,Girish And Company,Fragrance, 100 Flower Perfume Fragrance Roll on Attar (6 ML) ,70.0
2016-11-09,8,70288.14649436537,B004IFRNN0,Afro Heal,Skin Care, 100% Pure  Cold Pressed Flaxseed OIL  100 ML ,250.0
2016-11-16,8,69629.17361124889,B004IFRNN0,Afro Heal,Skin Care, 100% Pure  Cold Pressed Flaxseed OIL  100 ML ,250.0
2016-11-23,8,68310.81456194383,B004IFRNN0,Afro Heal,Skin Care, 100% Pure  Cold Pressed Flaxseed OIL  100 ML ,250.0
2016-11-30,8,66556.21649456858,B004IFRNN0,Afro Heal,Skin Care, 100% Pure  Cold Pressed Flaxseed OIL  100 ML ,250.0
2016-12-07,8,65534.92260248207,B004IFRNN0,Afro Heal,Skin Care, 100% Pure  Cold Pressed Flaxseed OIL  100 ML ,250.0
